t,x,y
5.910000,1.139854,0.260071
5.920000,1.149817,0.258868
5.930000,1.159875,0.257677
5.940000,1.170027,0.256497
5.950000,1.180274,0.255330
5.960000,1.190619,0.254174
5.970000,1.201061,0.253030
5.980000,1.211601,0.251898
5.990000,1.222241,0.250778
6.000000,1.232981,0.249669
6.010000,1.243823,0.248572
6.020000,1.254766,0.247486
6.030000,1.265813,0.246412
6.040000,1.276964,0.245350
6.050000,1.288219,0.244298
6.060000,1.299581,0.243259
6.070000,1.311050,0.242230
6.080000,1.322627,0.241213
6.090000,1.334313,0.240207
6.100000,1.346108,0.239212
6.110000,1.358015,0.238229
6.120000,1.370034,0.237257
6.130000,1.382166,0.236295
6.140000,1.394411,0.235345
6.150000,1.406772,0.234406
6.160000,1.419250,0.233478
6.170000,1.431844,0.232561
6.180000,1.444557,0.231654
6.190000,1.457389,0.230759
6.200000,1.470342,0.229874
6.210000,1.483417,0.229001
6.220000,1.496614,0.228138
6.230000,1.509935,0.227286
6.240000,1.523381,0.226445
6.250000,1.536953,0.225614
6.260000,1.550653,0.224794
6.270000,1.564481,0.223985
6.280000,1.578439,0.223187
6.290000,1.592527,0.222399
6.300000,1.606748,0.221621
6.310000,1.621102,0.220855
6.320000,1.635590,0.220099
6.330000,1.650214,0.219353
6.340000,1.664975,0.218618
6.350000,1.679874,0.217894
6.360000,1.694912,0.217180
6.370000,1.710092,0.216477
6.380000,1.725413,0.215784
6.390000,1.740877,0.215102
6.400000,1.756486,0.214430
6.410000,1.772241,0.213768
6.420000,1.788143,0.213117
6.430000,1.804193,0.212477
6.440000,1.820394,0.211847
6.450000,1.836745,0.211227
6.460000,1.853249,0.210618
6.470000,1.869907,0.210020
6.480000,1.886721,0.209432
6.490000,1.903691,0.208854
6.500000,1.920819,0.208287
6.510000,1.938107,0.207730
6.520000,1.955556,0.207184
6.530000,1.973167,0.206648
6.540000,1.990942,0.206123
6.550000,2.008883,0.205608
6.560000,2.026990,0.205104
6.570000,2.045265,0.204610
6.580000,2.063711,0.204127
6.590000,2.082327,0.203655
6.600000,2.101117,0.203193
6.610000,2.120081,0.202742
6.620000,2.139221,0.202301
6.630000,2.158538,0.201871
6.640000,2.178035,0.201452
6.650000,2.197712,0.201043
6.660000,2.217571,0.200645
6.670000,2.237614,0.200258
6.680000,2.257843,0.199882
6.690000,2.278259,0.199516
6.700000,2.298863,0.199162
6.710000,2.319658,0.198818
6.720000,2.340645,0.198486
6.730000,2.361826,0.198164
6.740000,2.383202,0.197853
6.750000,2.404775,0.197554
6.760000,2.426547,0.197265
6.770000,2.448520,0.196988
6.780000,2.470695,0.196722
6.790000,2.493074,0.196467
6.800000,2.515659,0.196224
6.810000,2.538451,0.195992
6.820000,2.561453,0.195772
6.830000,2.584666,0.195563
6.840000,2.608093,0.195366
6.850000,2.631734,0.195180
6.860000,2.655591,0.195006
6.870000,2.679667,0.194844
6.880000,2.703964,0.194694
6.890000,2.728483,0.194556
6.900000,2.753226,0.194430
6.910000,2.778195,0.194316
6.920000,2.803392,0.194215
6.930000,2.828819,0.194126
6.940000,2.854478,0.194049
6.950000,2.880370,0.193984
6.960000,2.906498,0.193933
6.970000,2.932864,0.193894
6.980000,2.959469,0.193868
6.990000,2.986317,0.193854
7.000000,3.013407,0.193854
7.010000,3.040744,0.193868
7.020000,3.068328,0.193894
7.030000,3.096162,0.193934
7.040000,3.124247,0.193987
7.050000,3.152587,0.194054
7.060000,3.181182,0.194135
7.070000,3.210035,0.194230
7.080000,3.239148,0.194339
7.090000,3.268524,0.194463
7.100000,3.298164,0.194601
7.110000,3.328070,0.194753
7.120000,3.358244,0.194920
7.130000,3.388689,0.195102
7.140000,3.419407,0.195299
7.150000,3.450400,0.195512
7.160000,3.481670,0.195740
7.170000,3.513219,0.195983
7.180000,3.545050,0.196243
7.190000,3.577164,0.196518
7.200000,3.609564,0.196810
7.210000,3.642252,0.197118
7.220000,3.675230,0.197443
7.230000,3.708501,0.197785
7.240000,3.742066,0.198144
7.250000,3.775928,0.198520
7.260000,3.810090,0.198914
7.270000,3.844552,0.199326
7.280000,3.879318,0.199756
7.290000,3.914390,0.200204
7.300000,3.949770,0.200671
7.310000,3.985460,0.201157
7.320000,4.021463,0.201662
7.330000,4.057780,0.202187
7.340000,4.094415,0.202732
7.350000,4.131369,0.203297
7.360000,4.168644,0.203882
7.370000,4.206243,0.204488
7.380000,4.244168,0.205115
7.390000,4.282422,0.205764
7.400000,4.321006,0.206435
7.410000,4.359923,0.207128
7.420000,4.399175,0.207843
7.430000,4.438764,0.208582
7.440000,4.478692,0.209344
7.450000,4.518962,0.210130
7.460000,4.559576,0.210940
7.470000,4.600537,0.211775
7.480000,4.641845,0.212635
7.490000,4.683504,0.213521
7.500000,4.725516,0.214432
7.510000,4.767882,0.215371
7.520000,4.810605,0.216336
7.530000,4.853688,0.217329
7.540000,4.897131,0.218351
7.550000,4.940938,0.219401
7.560000,4.985110,0.220480
7.570000,5.029650,0.221589
7.580000,5.074559,0.222729
7.590000,5.119839,0.223900
7.600000,5.165493,0.225103
7.610000,5.211522,0.226338
7.620000,5.257928,0.227606
7.630000,5.304714,0.228907
7.640000,5.351880,0.230244
7.650000,5.399430,0.231615
7.660000,5.447364,0.233023
7.670000,5.495684,0.234467
7.680000,5.544392,0.235949
7.690000,5.593490,0.237469
7.700000,5.642980,0.239028
7.710000,5.692862,0.240628
7.720000,5.743139,0.242268
7.730000,5.793812,0.243951
7.740000,5.844882,0.245677
7.750000,5.896350,0.247446
7.760000,5.948219,0.249260
7.770000,6.000489,0.251121
7.780000,6.053160,0.253028
7.790000,6.106236,0.254984
7.800000,6.159716,0.256989
7.810000,6.213601,0.259044
7.820000,6.267892,0.261151
7.830000,6.322590,0.263312
7.840000,6.377696,0.265526
7.850000,6.433210,0.267797
7.860000,6.489132,0.270124
7.870000,6.545464,0.272510
7.880000,6.602205,0.274955
7.890000,6.659355,0.277462
7.900000,6.716914,0.280032
7.910000,6.774883,0.282667
7.920000,6.833262,0.285368
7.930000,6.892049,0.288137
7.940000,6.951244,0.290976
7.950000,7.010847,0.293886
7.960000,7.070857,0.296870
